BU_CODE,pop,hh,p_hh_low_income,p_hh_lowest_20,p_hh_highest_40,cars_per_hh,nr_w_migr,nr_nw_migr,avg_inc_per_res,area_total,area_land,pop_density,house_price,nr_hh_low_income,1-nr_hh_low_income,nr_hh_lowest_20,nr_hh_highest_40,p_w_migr,p_nw_migr
BU03632600,3140,1815,0.19899999999999998,0.626,0.109,0.3,600,1145,25.1,0.17,0.14,22788.0,374,361.18499999999995,1453.815,1136.19,197.835,,0.3646496815286624
BU03632601,2805,1670,0.172,0.602,0.10400000000000001,0.3,540,925,27.4,0.12,0.12,23920.0,373,287.23999999999995,1382.76,1005.3399999999999,173.68,,0.32976827094474154
BU03632602,2250,1370,0.171,0.627,0.1,0.3,425,760,,0.1,0.1,23035.0,382,234.27,1135.73,858.99,137.0,,0.3377777777777778
BU03632700,2005,1205,0.083,0.41600000000000004,0.27899999999999997,0.3,490,260,,0.14,0.12,17311.0,487,100.015,1104.985,501.28000000000003,336.19499999999994,,0.12967581047381546
BU03632701,3300,1965,0.094,0.40299999999999997,0.249,0.4,725,635,40.6,0.24,0.18,17906.0,476,184.71,1780.29,791.895,489.285,,0.19242424242424241
BU03632702,520,430,0.268,0.812,0.024,0.1,210,230,,0.07,0.07,7523.0,338,115.24000000000001,314.76,349.16,10.32,,0.4423076923076923
BU03632800,3860,2440,0.152,0.575,0.132,0.3,760,1255,31.0,0.22,0.21,18141.0,368,370.88,2069.12,1403.0,322.08000000000004,,0.32512953367875647
BU03632801,120,100,,,,0.3,30,25,,0.25,0.23,540.0,272,,,,,,0.20833333333333334
BU03632802,3775,2135,0.14300000000000002,0.516,0.201,0.4,780,1065,32.6,0.16,0.16,23936.0,429,305.305,1829.695,1101.66,429.13500000000005,,0.28211920529801326
BU03632803,3090,1810,0.21600000000000003,0.5820000000000001,0.129,0.3,475,1435,27.4,0.12,0.12,25353.0,373,390.96000000000004,1419.04,1053.42,233.49,,0.46440129449838186
BU03632900,4340,2520,0.155,0.5710000000000001,0.129,0.3,750,1700,27.6,0.21,0.2,22032.0,364,390.6,2129.4,1438.92,325.08,,0.391705069124424
BU03632901,3815,2305,0.17300000000000001,0.612,0.128,0.3,620,1475,28.0,0.17,0.17,21903.0,373,398.76500000000004,1906.235,1410.66,295.04,,0.38663171690694625
BU03632902,2025,1025,0.133,0.466,0.248,0.4,340,595,,0.23,0.22,9106.0,443,136.32500000000002,888.675,477.65000000000003,254.2,,0.2938271604938272
BU03633000,4150,2315,0.193,0.575,0.13,0.3,615,1835,25.7,0.18,0.18,23676.0,337,446.795,1868.205,1331.125,300.95,,0.44216867469879517
BU03633001,5100,2705,0.17600000000000002,0.556,0.141,0.3,760,2245,25.9,0.2,0.19,26321.0,380,476.08000000000004,2228.92,1503.9800000000002,381.405,,0.44019607843137254
BU03633100,3870,2320,0.139,0.512,0.153,0.3,860,1235,30.8,0.18,0.17,23453.0,340,322.48,1997.52,1187.84,354.96,,0.31912144702842377
BU03633101,4650,2680,0.166,0.542,0.138,0.3,840,1865,27.3,0.15,0.15,31931.0,344,444.88,2235.12,1452.5600000000002,369.84000000000003,,0.4010752688172043
BU03633102,4100,2060,0.20199999999999999,0.5870000000000001,0.08900000000000001,0.4,500,2585,22.0,0.16,0.16,25996.0,326,416.11999999999995,1643.88,1209.2200000000003,183.34000000000003,,0.6304878048780488
BU03633200,5975,3210,0.201,0.622,0.08900000000000001,0.3,785,3110,22.7,0.27,0.26,23302.0,329,645.21,2564.79,1996.62,285.69000000000005,,0.5205020920502093
BU03633201,3605,1825,0.188,0.555,0.106,0.4,495,2055,22.3,0.14,0.14,26086.0,344,343.1,1481.9,1012.8750000000001,193.45,,0.5700416088765603
BU03633202,450,210,0.049,0.29100000000000004,0.315,0.6,70,120,,0.13,0.09,5198.0,491,10.290000000000001,199.71,61.11000000000001,66.15,,0.26666666666666666
BU03633203,15,10,,,,,5,0,,0.76,0.46,37.0,,,,,,,0.0
